"Time","CPU","Memory"
2021-06-20T11:23:41.300,372876333,39706624
2021-06-20T11:23:42.306,390401186,40230912
2021-06-20T11:23:43.311,396838662,40140800
2021-06-20T11:23:44.316,403084282,40161280
2021-06-20T11:23:45.322,409376507,40153088
2021-06-20T11:23:46.327,415548776,40144896
2021-06-20T11:23:47.332,421954095,40136704
2021-06-20T11:23:48.338,428152451,40144896
2021-06-20T11:23:49.343,434256478,40165376
2021-06-20T11:23:50.348,440493512,40177664
2021-06-20T11:23:51.353,446613931,40173568
2021-06-20T11:23:52.358,452687553,40206336
2021-06-20T11:23:53.364,458900276,40230912
2021-06-20T11:23:54.369,465168177,40214528
2021-06-20T11:23:55.374,471328819,40202240
2021-06-20T11:23:56.379,477620265,40194048
2021-06-20T11:23:57.389,483986920,40206336
2021-06-20T11:23:58.394,490196690,40218624
2021-06-20T11:23:59.400,496503994,40222720
2021-06-20T11:24:00.405,502636181,40235008
2021-06-20T11:24:01.410,508855630,40214528
2021-06-20T11:24:02.415,515071017,40198144
2021-06-20T11:24:03.420,521041588,40202240
2021-06-20T11:24:04.426,527272374,40206336
2021-06-20T11:24:05.431,533580517,40198144
2021-06-20T11:24:06.436,539800491,40218624
2021-06-20T11:24:07.441,546009502,40202240
2021-06-20T11:24:08.447,552269164,40218624
2021-06-20T11:24:09.452,558474703,40206336
2021-06-20T11:24:10.457,564597329,40218624
2021-06-20T11:24:11.462,570773862,40235008
2021-06-20T11:24:12.468,576942450,40218624
2021-06-20T11:24:13.473,583057118,40235008
2021-06-20T11:24:14.478,589306602,40222720
2021-06-20T11:24:15.484,596030134,40222720
2021-06-20T11:24:16.489,602492063,40243200
2021-06-20T11:24:17.494,608917435,40210432
2021-06-20T11:24:18.500,615461352,40206336
2021-06-20T11:24:19.515,629973694,40202240
2021-06-20T11:24:20.520,636455242,40235008
2021-06-20T11:24:21.533,643132729,40226816
2021-06-20T11:24:22.538,650610050,40243200
2021-06-20T11:24:23.544,657227810,40194048
2021-06-20T11:24:24.549,663521225,40181760
2021-06-20T11:24:25.555,669826934,40173568
2021-06-20T11:24:26.566,676527610,40181760
2021-06-20T11:24:27.571,683087914,40181760
2021-06-20T11:24:28.577,689969976,40181760
2021-06-20T11:24:29.582,696730793,40181760
2021-06-20T11:24:30.588,703050882,40189952
2021-06-20T11:24:31.593,709563036,40202240
2021-06-20T11:24:32.599,716214507,40210432
2021-06-20T11:24:33.604,722550443,40222720
2021-06-20T11:24:34.610,728961973,40189952
2021-06-20T11:24:35.616,735624012,40194048
2021-06-20T11:24:36.622,743220595,40214528
2021-06-20T11:24:37.628,750798684,40218624
2021-06-20T11:24:38.633,757206223,40214528
2021-06-20T11:24:39.639,763824385,40222720
2021-06-20T11:24:40.644,770345871,40243200
2021-06-20T11:24:41.649,776866575,40222720
2021-06-20T11:24:42.655,783216688,40226816
2021-06-20T11:24:43.660,789541693,40226816
2021-06-20T11:24:44.666,795840142,40235008
2021-06-20T11:24:45.672,802592662,40230912
2021-06-20T11:24:46.677,809101172,40214528
2021-06-20T11:24:47.683,815685536,40218624
2021-06-20T11:24:48.689,822157097,40226816
2021-06-20T11:24:49.694,828786253,40226816
2021-06-20T11:24:50.699,835356025,40222720
2021-06-20T11:24:51.705,841862580,40235008
